Title,Video ID,Published At,Keyword,Likes,Comments,Views,Year,Month,Day,Day_of_Week,Engagement_Rate,Like_Rate,Comment_Rate,Total_Comments,Total_Comment_Likes,Avg_Sentiment
10 Infuriating Ways Video Games Stopped You From Getting 100%,t3L2dLPzvrM,2022-08-24,gaming,2481.0,429.0,67444.0,2022,8,24,Wednesday,4.314626732893469,3.6785528949514417,0.6360738379420268,10,294.0,0.7
Farming Simulator 22 #13 - Khi Xe Bán Tải Chở Quá Tải !!,UZFeOxoRe8g,2022-08-24,gaming,2501.0,193.0,84565.0,2022,8,24,Wednesday,3.1856774590260857,2.957453350046118,0.22822410897996834,10,48.0,1.2
Secret Hidden Oven Entrance to Epic GAMING FORT!,PyUwWSrFy5E,2022-08-20,gaming,82449.0,2673.0,2007038.0,2022,8,20,Saturday,4.241173190954436,4.107991922429012,0.13318126852542475,5,1227.0,1.6
🔥Artistic Music Mix 2022: Top 50 Songs ♫ Best NCS Gaming Music ♫ Best Of EDM Remixes 2022,GiHBWPRybpw,2022-08-24,gaming,1243.0,21.0,5967.0,2022,8,24,Wednesday,21.179624664879356,20.82774798927614,0.35187667560321717,10,12.0,1.4
"Free Fire | We Got Level 1 Ghost Id 😨With 9999 Badges😍 Wasting 10,000 Diamonds 💎-Garena Free Fire",wRWhpXAMrLQ,2022-08-24,gaming,48710.0,3417.0,552256.0,2022,8,24,Wednesday,9.438902539940644,8.820168870652614,0.6187336692880308,7,142.0,2.0
gaming in the future,zJJ7JiG2Lvw,2022-08-24,gaming,29966.0,471.0,205943.0,2022,8,24,Wednesday,14.779260381462922,14.550557433088606,0.22870294837431535,10,19423.0,1.3
The *DESTINY* Challenge in Fortnite!,f-vwWjR_3JY,2022-08-24,gaming,15842.0,1547.0,530763.0,2022,8,24,Wednesday,3.2762206931894404,2.9847540526486345,0.29146664054080534,8,309.0,2.0
7 Reasons The Gaming Industry Is Broken,gYvCj3EufhA,2022-08-24,gaming,3374.0,741.0,82874.0,2022,8,24,Wednesday,4.965309200603318,4.0711915535444945,0.8941176470588236,10,492.0,1.1
GTA 5 CAN CHOP COMPLETE THIS INSANE IMPOSSIBLE STUNT RACE,0aSjii_bpUc,2022-08-24,gaming,8260.0,195.0,191777.0,2022,8,24,Wednesday,4.408743442939231,4.3070633753610945,0.10168006757813723,9,7.0,2.0
🎧 FOLLOW ME ON LOCO | ACHANAK BAYANAK GAMING,-ymEXN_zeR4,2022-08-24,gaming,1525.0,36.0,14877.0,2022,8,24,Wednesday,10.492001613120044,10.250033606667564,0.24196800645248018,10,9.0,1.7
Finally Improved it ! Lenovo Ideapad Gaming 3 2022 |  i5 12th gen RTX 3050,i2tzQ0RUm6Q,2022-08-24,gaming,468.0,164.0,10351.0,2022,8,24,Wednesday,6.105100463678516,4.520865533230293,1.5842349304482226,10,24.0,1.5
NO STREAM FOR 3 DAYS | KYA AAJ 35 KILLS HONGE | GODL LoLzZz | BGMI LIVE,HN-EAqkxYLo,2022-08-23,gaming,18208.0,44.0,228095.0,2022,8,23,Tuesday,8.00189393939394,7.982603815937149,0.019290123456790122,10,72.0,1.4
🔴SHORT STREAM OR WHAT??😱| BGMI LIVE,514QAJMYHus,2022-08-24,gaming,3171.0,5.0,19693.0,2022,8,24,Wednesday,16.126739108357878,16.10135066517721,0.02538844318066416,4,9.0,1.25
GTA 5 ONLINE : RAMP BUGGY VS DRAUGUR (WHICH IS BEST OFF ROAD VEHICLE?),KO9XkCtJ8Ds,2022-08-23,gaming,1204.0,135.0,27564.0,2022,8,23,Tuesday,4.857609287139489,4.367857790676583,0.48975149646290583,10,91.0,1.4
Mylta Power Station Long drive &amp; Night Food Party Vlog | RON GAMING VLOGS,9BFPMqT4twI,2022-08-23,gaming,10556.0,466.0,66633.0,2022,8,23,Tuesday,16.541105141519346,15.841762463607168,0.699342677912177,10,194.0,2.0
ASMR Gaming 😴 Fortnite Tryhard Squad Win! Relaxing Gum Chewing 🎮🎧 Controller Sounds 💤,fT3XZ_lrUp8,2022-08-22,gaming,869.0,155.0,22860.0,2022,8,22,Monday,4.479244127553475,3.801233541839814,0.6780105857136608,10,56.0,1.8
15 Graphically MIND-BLOWING Games of 2022,2MTmULlJIJE,2022-01-18,gaming,13492.0,707.0,879645.0,2022,1,18,Tuesday,1.6141720646714701,1.5337988236176825,0.08037324105378754,10,347.0,1.6
RP ගේ පේජ් එකට මොකද උනේ 😥 | අලුත් පේජ් එක | Rp gaming,meUhoYdG0rM,2022-08-24,gaming,358.0,23.0,2386.0,2022,8,24,Wednesday,15.96145789694177,14.997905320485966,0.9635525764558024,7,10.0,1.2857142857142858
